Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240302070012,0.08,1019.91,14.52,89.11,2030.08,1.2
20240302071012,0.45,1019.67,14.52,89.16,2216.42,1.57
20240302072012,0.3,1019.88,14.34,90.62,1153.08,0.38
20240302073012,0.03,1019.89,14.3,91.73,1477.58,0.55
20240302074012,0,1020,14.45,92.82,3602.75,3.22
20240302075012,0,1020.22,14.28,93.18,2036.5,0.97
20240302080012,0.07,1020.07,14.47,93.12,4572.83,5.56
20240302081012,0.19,1020.12,14.92,92.38,7579.25,15.52
20240302082012,0.17,1020.07,15.32,91.32,7975.25,15.91
20240302083012,0.04,1020.17,15.64,91.79,7512.5,12.63
20240302084012,0,1020.28,15.38,91.24,4851.5,5.54
20240302085012,0,1020.26,14.99,92.18,4291.92,4.18
20240303070012,0,1018.66,15.2,94.54,668.92,0.29
20240303071012,0,1018.66,15.43,94.44,1215.42,0.87
20240303072012,0,1018.65,15.61,94.03,1356.67,0.99
20240303073012,0,1018.67,15.8,93.97,1694.67,1.61
20240303074012,0,1018.71,15.96,93.58,1914.25,1.94
20240303075012,0,1018.83,15.87,93.24,1799.17,1.72
20240303080012,0.2,1018.86,15.87,93.07,2086.42,2.28
20240303081012,0.09,1018.87,15.86,93,2406.25,3.11
20240303082012,0.07,1018.89,16.08,92.41,3293.25,5.61
20240303083012,0.1,1019,16.27,92.09,3422.16,6.02
20240303084012,0.03,1019.05,16.28,92.02,2762.92,4.01
20240303085012,0.02,1019.08,16.3,92.26,2766.08,4.04
20240304070012,1.34,1014.93,15.59,86.34,1766.92,0.48
20240304071012,1.3,1014.97,15.73,86.09,2038.75,0.64
20240304072012,1.04,1014.96,15.91,85.16,2284.33,0.8
20240304073012,0.93,1014.99,16.12,84.38,2508.83,1.02
20240304074012,0.99,1015.06,16.42,83.49,2736.25,1.18
20240304075012,1.14,1015.12,16.71,82.58,2943.25,1.43
20240304080012,0.81,1015.1,16.92,82.48,3137.33,1.59
20240304081012,1.03,1015.11,17.14,81.6,3333,1.81
20240304082012,1.02,1015.07,17.35,80.92,3525.92,2.11
20240304083012,0.7,1014.98,17.65,79.94,3720.33,2.38
20240304084012,0.93,1014.92,17.92,78.91,3929.83,2.76
20240304085012,0.61,1014.79,18.24,78.14,4160.25,3.13
20240305070012,0.7,1008.49,20.08,82.07,1403.08,0.42
