Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240302070010,0.26,1020.5,14.54,94.36,2717,1.66
20240302071010,1.06,1020.26,14.63,94.02,3511.75,2.82
20240302072010,0.45,1020.5,14.53,95.1,1607.33,0.58
20240302073010,0,1020.49,14.52,96.08,1734.92,0.63
20240302074010,0.13,1020.61,14.77,96.68,4238.92,3.78
20240302075010,0.34,1020.78,14.72,97.03,2838.75,1.63
20240302080010,0.15,1020.64,14.77,96.86,6213.92,8.33
20240302081010,0.11,1020.64,15.78,95.55,12269,29.31
20240302082010,0.11,1020.58,16.58,93.8,13612.17,38.47
20240302083010,0,1020.66,16.85,93.16,10517.67,21.35
20240302084010,0.05,1020.78,16.05,94.67,6629.92,8.39
20240302085010,0.03,1020.74,15.47,95.67,5106.17,4.92
20240303070010,0,1018.79,15.26,97.25,1414.67,0.43
20240303071010,0,1018.82,15.41,97.07,2401,1.15
20240303072010,0,1018.8,15.66,96.93,2823.08,1.46
20240303073010,0,1018.81,15.72,96.34,3460.5,2.21
20240303074010,0,1018.84,15.72,96.05,3346.25,2.06
20240303075010,0.05,1018.95,15.79,95.61,3384,2.16
20240303080010,0.02,1018.96,15.94,95.48,3714.25,2.65
20240303081010,0.14,1018.94,16.07,95.33,4732.33,4.03
20240303082010,0,1018.92,16.48,94.81,6501.42,7.46
20240303083010,0.1,1019.02,16.62,93.89,6369.42,7.28
20240303084010,0.07,1019.09,16.58,93.29,5642.08,6.27
20240303085010,0.12,1019.11,16.75,93.51,5713.08,6.46
20240304070010,2.34,1014.85,16.66,85.21,4110.92,3.81
20240304071010,1.84,1014.8,18.5,78.05,5110.67,5.81
20240304072010,2,1014.73,20.8,68.29,6094.42,8.11
20240304073010,1.66,1014.68,23.37,60.01,7020.75,10.88
20240304074010,1.97,1014.63,26.05,50.44,7862.58,15.58
20240304075010,2.06,1014.62,27.15,46.44,8534.67,24.63
20240304080010,2.19,1014.55,28.13,44.03,9246.42,44.38
20240304081010,2.2,1014.54,28.86,42.88,10153.5,72.21
20240304082010,2.01,1014.46,29.82,40.73,18246.83,119.56
20240304083010,1.91,1014.38,30.94,37.61,29835.75,172.75
20240304084010,2.95,1014.28,30.59,37.85,34190.83,233.7
20240304085010,2.22,1014.15,31.08,36.66,38924.5,303.93
20240305070010,2.01,1008.83,21.11,79.8,3245.83,2.45
20240305071010,1.57,1008.97,21.46,78.48,3941.92,3.21
20240305072010,2.29,1008.84,21.58,78.32,5997.58,7
20240305073010,1.93,1008.55,23.65,70.07,8106.08,13.29
20240305074010,2.26,1008.22,28.95,52.26,9284.25,22.18
20240305075010,1.64,1008.13,31.49,44.33,9159.33,28.75
20240305080010,1.74,1008.14,32.98,40.33,10251.08,53.62
20240305081010,1.6,1007.96,34.47,37.59,11251.25,85.04
20240305082010,2.31,1007.9,34.15,36.95,19376.42,132.74
20240305083010,3.4,1007.93,32.99,38.37,30542.58,189.55
20240305084010,2.71,1007.7,34.32,36.52,34428.08,243.97
20240305085010,2.78,1007.58,34.82,36.1,38753.19,310.34
20240306070010,0.43,1007.36,21.64,85.45,1495.58,0.49
20240306071010,0.77,1007.56,21.87,84.68,1710.67,0.63
20240306072010,1.11,1007.7,21.78,84.6,1628.5,0.6
20240306073010,0.44,1007.99,21.88,84.24,1322.17,0.45
20240306074010,0.83,1008.35,21.9,85.13,2110.92,0.96
20240306075010,0.22,1008.5,22.41,84.42,3962.83,3.2
20240306080010,0.29,1008.67,23.04,82.8,4460.75,4.3
20240306081010,0,1008.8,23.2,82.19,4329.92,3.63
20240306082010,0.46,1008.88,23.21,84.65,2233.17,1
20240306083010,1.24,1009.08,22.88,86.83,2016.33,0.77
20240306084010,1.32,1009.34,22.54,85.92,2827.83,1.44
20240306085010,1.45,1009.43,22.56,84.09,3812.67,2.78
20240307070010,0,1015.82,16.71,97.58,1040.5,0.3
20240307071010,0,1015.84,16.79,97.51,1332.67,0.41
20240307072010,0,1015.82,16.79,97.48,1634.84,0.61
20240307073010,0.04,1015.94,16.85,97.33,2539.42,1.41
20240307074010,0,1016.03,16.93,97.16,2842.58,1.65
20240307075010,0,1016.16,16.89,97.02,1857,0.7
20240307080010,0,1016.15,16.85,96.99,2463.17,1.18
20240307081010,0,1016.15,17.01,96.79,3119.83,1.88
20240307082010,0.06,1016.29,16.99,96.54,2919.67,1.63
20240307083010,0.02,1016.31,17.03,96.54,3002.33,1.66
20240307084010,0.08,1016.37,17.12,96.51,3423.67,2.17
20240307085010,0.02,1016.42,17.15,96.38,4368.67,3.96
20240308070010,0.22,1018.43,15.13,98.69,823.75,0.17
20240308071010,0.03,1018.58,15.33,99.15,772.58,0.15
20240308072010,0,1018.72,15.41,99.02,918.58,0.2
20240308073010,0,1018.88,15.44,99.02,1175.08,0.31
20240308074010,0.5,1018.93,15.44,97.48,1647.08,0.57
20240308075010,0.11,1019,15.52,96.46,1966.33,0.77
20240308080010,0,1019.11,15.74,96.89,2247.67,0.98
20240308081010,0,1019.24,15.86,97.13,2417.84,1.07
20240308082010,0,1019.36,15.92,93.65,2735.75,1.41
20240308083010,0.18,1019.45,16,85.85,3275.67,2
20240308084010,0.03,1019.54,16.28,81.96,3818.5,2.69
20240308085010,0.12,1019.59,16.43,82.92,4164.42,3.24
20240309070010,0,1020.91,14.22,80.46,2179.67,1.04
20240309071010,0,1021.22,14.34,81.19,2304.58,1.1
20240309072010,0.03,1021.79,14.61,80.62,2374.92,1.17
20240309073010,0,1022.02,14.85,79.82,3264.42,2.19
20240309074010,0,1022.13,15.32,77.23,4478.42,4.01
20240309075010,0.07,1022.16,15.67,75.02,6511.25,8.95
20240309080010,0.02,1022.14,16.08,73.92,6419.67,8.47
20240309081010,0.13,1022.23,16.12,74.13,5417.83,5.93
20240309082010,0.18,1022.31,16.27,72.34,8217.17,13.98
20240309083010,0,1022.35,17.16,70.15,12240.83,29.13
20240309084010,0.09,1022.52,17.71,67.58,12036.42,28.69
20240309085010,0.54,1022.35,17.8,64.38,13525.17,35.87
20240310070010,0.33,1022.05,15.55,83.75,1488.08,0.48
20240310071010,0.1,1022.12,15.66,83.17,1693,0.62
20240310072010,0.19,1022.24,15.75,82.48,1871.25,0.69
20240310073010,0.56,1022.47,15.77,82.62,1839.83,0.67
20240310074010,0.61,1022.59,15.79,82.56,2283.67,1.02
20240310075010,0.73,1022.78,15.84,82.68,2964.92,1.69
20240310080010,0.36,1023.02,15.71,84.26,2614.34,1.24
20240310081010,0.5,1023.16,15.84,82.55,2538.08,1.2
20240310082010,0.53,1023.24,15.99,81.29,2758.25,1.38
20240310083010,0.54,1023.38,16.03,80.86,2662.83,1.31
20240310084010,0.32,1023.44,16.15,80.5,3392.5,2.08
20240310085010,0.77,1023.57,16.2,80.04,3712.33,2.4
20240311070010,0.59,1017.73,17.92,79.45,2038.08,0.87
20240311071010,1.07,1017.79,18,78.39,2392,1.17
20240311072010,1.4,1017.81,18.08,78.22,2776.08,1.52
20240311073010,1.23,1017.76,18.12,78.53,3038,1.77
20240311074010,1.88,1017.8,18.26,78.31,4140.08,3.28
20240311075010,1.82,1017.79,18.41,77.07,4767.5,4.25
20240311080010,2.02,1017.8,18.64,75.91,6378.92,7.47
20240311081010,0.89,1017.86,19.11,74.84,8079.25,11.68
20240311082010,1.75,1017.75,19.22,74.5,8959.5,14.27
20240311083010,0.72,1017.63,19.73,73.64,10971.5,21.73
20240311084010,0.47,1017.62,20.29,71.86,10389.58,19.4
20240311085010,0.78,1017.58,20.41,71.16,10702.42,20.28
20240312070010,0,1015.15,17.81,100,1143.42,0.31
20240312071010,0.03,1015.32,17.76,100,1616.08,0.59
20240312072010,0,1015.57,17.59,100,1909.42,0.79
20240312073010,0.02,1015.76,17.12,99.98,2434.42,1.17
20240312074010,0.05,1015.93,17.49,100,2786.33,1.57
20240312075010,0.1,1016.17,17.63,100,3228.25,2.03
20240312080010,0.03,1016.39,17.86,100,3493.08,2.36
20240312081010,0.06,1016.62,17.82,99.35,3796.5,2.83
20240312082010,0.02,1016.75,18.15,98.15,4228.17,3.43
20240312083010,0,1016.81,18.32,96.24,4448.08,3.82
20240312084010,0,1016.89,18.53,96.21,4927.42,4.74
20240312085010,0.47,1016.9,18.76,93.97,6272.67,7.53
20240313070010,0,1021.4,15.85,89.31,2802.67,1.83
20240313071010,0,1021.52,16.31,87.56,3661.25,2.77
20240313072010,0,1021.7,16.52,86.45,3722.83,2.82
20240313073010,0,1021.86,16.58,87.52,3992.08,3.25
20240313074010,0.13,1021.91,16.86,86.78,4648.75,4.44
20240313075010,0,1021.96,17.23,85.2,6074.25,7.46
20240313080010,0,1022.04,17.73,80.99,7322.58,10.61
20240313081010,0.14,1022.01,18.21,79.06,9065.17,16.38
20240313082010,0,1022.04,18.87,75.75,11441.08,27.28
20240313083010,0.02,1022.03,19.93,72.62,12744.5,33.97
20240313084010,0,1021.99,19.98,72.02,13698.17,40
20240313085010,0.02,1021.87,22.53,61.69,21706.33,125.88
20240314070010,0,1018.65,17.2,84.26,721.08,0.13
20240314071010,0,1018.63,17.24,83.92,826,0.17
20240314072010,0,1018.67,17.3,83.96,935.08,0.21
20240314073010,0,1018.8,17.33,85.04,1090.08,0.29
20240314074010,0,1018.78,17.34,85.23,1125.92,0.31
20240314075010,0,1018.76,17.39,85.17,1577.5,0.56
20240314080010,0,1018.85,17.41,86.03,2005.83,0.86
20240314081010,0,1018.88,17.4,86.82,2496.33,1.25
20240314082010,0,1018.85,17.54,85.87,3581.17,2.43
20240314083010,0,1018.86,17.68,84.96,3583,2.37
20240314084010,0,1018.86,17.82,83.81,3974.17,2.97
20240314085010,0,1018.85,17.92,83.48,4320.17,3.51
20240315070010,0,1018.45,17.35,88.66,1937,0.82
20240315071010,0,1018.62,17.61,87.68,2377.67,1.2
20240315072010,0,1018.66,17.99,86.78,3332.92,2.24
20240315073010,0,1018.68,18.44,84.86,4414,3.89
