Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240215070014,2.09,1013.96,19.32,69.14,5353.33,23.74
20240215071014,1.84,1014.06,20.58,65.15,12151,44.7
20240215072014,1.72,1014.22,22.46,57.99,17001.67,79.43
20240215073014,2.41,1014.29,22.9,55.89,21634.92,124.84
20240215074014,1.59,1014.32,24.56,52.18,26630.5,185.43
20240215075014,2.19,1014.36,24.97,50.4,31704.5,258.68
20240215080014,1.64,1014.46,26.73,45.23,36996.5,346.18
20240215081014,1.64,1014.5,27.14,44.07,42297.75,447.54
20240215082014,2.44,1014.5,26.73,45.11,47306.69,551.92
20240215083014,1.75,1014.42,28.05,41.86,52792.54,667.75
20240215084014,1.69,1014.49,29.64,37.79,57881.29,786.68
20240215085014,2.22,1014.54,29.62,36.34,62118.86,897.81
20240216070014,0.6,1015.7,18.5,91.53,873.42,0.27
20240216071014,0.88,1015.82,18.53,91.59,1251.58,0.58
20240216072014,0.87,1015.98,18.61,90.98,1759,1.1
20240216073014,0.66,1016.03,18.73,90.66,2688.08,2.9
20240216074014,0.7,1016.14,18.87,90.48,3068,3.76
20240216075014,0.59,1016.24,19.02,90.09,3720.25,5.27
20240216080014,0.58,1016.36,19.24,89.63,4541,7.76
20240216081014,0.21,1016.43,19.44,89.72,5712.08,11.63
20240216082014,0.45,1016.51,19.57,88.35,5627,11.77
20240216083014,0.16,1016.61,19.78,88.41,5345.83,11.11
20240216084014,0.1,1016.66,20.04,89.31,5952.25,12.82
20240216085014,0.1,1016.66,20.37,86.97,5742.42,11.93
20240217070014,0.92,1013.8,17.71,91.26,4042.42,2.97
20240217071014,1.27,1013.9,17.87,90.27,5064.66,5.18
20240217072014,0.93,1014.01,18.46,87.4,6636.08,10.17
20240217073014,1.11,1014.07,19.35,83.92,10052.17,31.66
20240217074014,0.95,1014.06,19.87,80.99,10408.67,21.18
20240217075014,1,1014.16,19.88,81.29,13828.67,41.35
20240217080014,1.25,1014.19,20.91,77.06,16479.42,61.78
20240217081014,1.37,1014.31,22.57,70.63,29022.92,234.75
20240217082014,1.43,1014.4,25.01,60.16,30816.87,270.11
20240217083014,1.06,1014.42,24.58,61.1,24843.6,169
20240217084014,1.14,1014.47,27.19,54.01,57934.01,970.33
20240217085014,0.97,1014.64,32.49,40.63,62880.74,955.99
20240219070014,1.26,1011.9,22.34,77.62,8938.67,32.54
20240219071014,1.25,1011.95,27.06,60.49,15121.83,71.49
20240219072014,1.09,1012.01,28.15,54.85,19658.58,114.2
20240219073014,0.65,1012.22,29.49,50.07,22949.42,139.6
20240219074014,1.35,1012.25,31.24,45.48,29871.5,246.65
20240219075014,0.79,1012.43,34.71,36.48,24034.92,160.06
20240219080014,0.4,1012.47,29.75,46.76,22054.5,117.78
20240219081014,0.3,1012.62,27.81,51.8,17543.92,67.57
20240219082014,0.34,1012.82,28.64,50.63,23637,128.16
20240219083014,0.81,1012.82,28.2,50.84,21616.42,101.05
20240219084014,1.37,1012.98,30.64,44.98,46536.59,558.83
20240219085014,1.29,1013.05,35.62,34.88,76236.02,1358.73
20240220070014,1.76,1011.98,23.47,75.23,7920.67,15.91
20240220071014,1.37,1012.16,23.08,76.88,8266.75,17.23
20240220072014,1.45,1012.21,23.66,73.55,8554.25,18.85
20240220073014,1.65,1012.24,23.63,73.23,9273.33,20.39
20240220074014,1.32,1012.26,24.06,72.05,14012.67,48.1
20240220075014,1.53,1012.27,24.7,70.06,16381.83,62.42
20240220080014,1.27,1012.42,26.06,65.98,20273.33,97.46
20240220081014,1.6,1012.54,27.18,61.84,29036.55,234.72
20240220082014,1.48,1012.75,31.31,49.22,43526.48,487.06
20240220083014,1.36,1012.84,32.32,44.29,42872.24,459.99
20240220084014,1.95,1012.8,31.51,45.47,51887.87,698.78
20240220085014,2.31,1012.72,30.97,47.13,34609.23,327.72
20240221070014,0.43,1012.78,29.09,58.11,4888.33,45.13
20240221071014,1.06,1012.89,29.15,53.61,14099.67,68.67
20240221072014,1.18,1013.08,29.48,50.12,18817.16,104.84
20240221073014,2.04,1013.27,29.83,48.23,23812.83,160.44
20240221074014,2.38,1013.31,30.12,47.33,28830.5,232.79
20240221075014,1.8,1013.42,31.99,43.3,33468,313.89
20240221080014,1.51,1013.41,34.07,37.93,38404.82,412.07
20240221081014,1.84,1013.4,33.5,38.52,43173.87,521.58
20240221082014,2.24,1013.49,32.03,41.16,47882.4,639.41
20240221083014,1.96,1013.57,33.52,37.5,52879.15,765.6
