Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240310070003,1.28,1018.63,14.72,80.53,2632,1.75
20240310071003,1.05,1018.7,14.87,79.97,3113.83,2.3
20240310072003,0.81,1018.87,15.04,79.2,3417.83,2.64
20240310073003,1.17,1019.07,15.07,78.96,3372,2.51
20240310074003,1.71,1019.2,15.17,78.25,4441.42,4.35
20240310075003,1,1019.43,15.37,77.89,5285.17,5.9
20240310080003,1.81,1019.58,15.19,78.63,4573.67,4.49
20240310081003,1.56,1019.75,15.21,78.22,4535.58,4.45
20240310082003,1.11,1019.88,15.4,77,4960.58,4.79
20240310083003,1.57,1020.01,15.55,76.15,5045.67,5.2
20240310084003,0.55,1020.05,15.88,75.27,6349.5,8.35
20240310085003,1.44,1020.21,16.01,74.39,6426.92,8.13
20240311070003,1.68,1014.69,17.56,74.86,4093,3.69
20240311071003,1.85,1014.76,17.71,74.37,4946.83,5.46
20240311072003,1.89,1014.68,17.85,74.28,5383.75,6.25
20240311073003,1.7,1014.72,18.09,73.66,6795.58,10.22
20240311074003,1.55,1014.75,18.42,72.27,8872.92,16.54
20240311075003,2.28,1014.76,18.67,70.69,10143,21.57
20240311080003,1.95,1014.84,19.25,68.93,13683.75,38.7
20240311081003,1.74,1014.79,19.89,66.86,15507.33,49.29
20240311082003,1.85,1014.71,20.62,64.56,18439.42,69.73
20240311083003,1.34,1014.66,21.5,62.06,21263.33,88.51
20240311084003,1.05,1014.62,22.09,60.48,18923.42,74.3
20240311085003,1.43,1014.55,22.14,59.94,21491.33,96.52
20240312070003,0.92,1012.48,17.16,86.57,2863.17,2.75
20240312071003,1.09,1012.76,17.06,84.55,3620.83,4.1
20240312072003,0.93,1012.85,17.27,88,4235.75,5.36
20240312073003,1.64,1013.09,17.48,86.31,5040.17,7.09
20240312074003,0.62,1013.34,17.62,85.97,5637.92,8.61
20240312075003,0.47,1013.6,17.86,85.13,6464,10.48
20240312080003,0.64,1013.78,18.11,85.29,7360.67,13
20240312081003,1.11,1013.85,18.33,85.25,7663.42,14.75
20240312082003,1.36,1013.94,18.53,85.59,8477.42,17.75
20240312083003,1.5,1013.97,19.02,85.2,10850.08,28.23
20240312084003,2.1,1014.04,19.32,82.83,13169.33,40.08
20240312085003,1.54,1014.01,19.8,79.84,16972.75,64.35
20240313070003,0.32,1018.44,15.32,88.23,5423.83,7.22
20240313071003,0.5,1018.57,15.77,86.08,6293.75,10.1
20240313072003,0.37,1018.72,16.13,83.74,6276.25,10.54
20240313073003,0.34,1018.91,16.39,83.84,6883.17,12.64
20240313074003,0.43,1018.97,16.92,82.22,8166.58,17.22
20240313075003,0.8,1019.04,17.26,80.84,10546.08,28.08
20240313080003,0.54,1019.11,18.28,75.7,12604.58,39.26
20240313081003,0.69,1019.12,19,72.89,16047.58,59.15
20240313082003,0.82,1019.17,19.88,69.04,21588.08,99.48
20240313083003,0.57,1019.2,21.48,64.76,26881.83,142.94
20240313084003,0.64,1019.14,22.67,61.02,29511.33,166.18
20240313085003,0.8,1019.12,24.52,54.01,43856.75,354.43
20240314070003,0.8,1015.78,16.31,84.9,1193.25,0.43
20240314071003,0.66,1015.75,16.41,84.41,1513.5,0.62
20240314072003,0.7,1015.77,16.48,84.29,1883.33,0.82
20240314073003,0.81,1015.9,16.55,84.88,2139.17,1.01
20240314074003,0.96,1015.9,16.62,84.85,2328.5,1.23
20240314075003,0.68,1015.88,16.8,84.33,3121.75,2.18
20240314080003,1.01,1015.95,16.97,83.94,3951,3.36
20240314081003,1.59,1016,17.03,84.16,4610.25,4.83
20240314082003,1.71,1015.94,17.1,83.66,5832.42,8.24
20240314083003,1.34,1015.96,17.33,82.44,6295.17,9.22
20240314084003,1.05,1016.02,17.67,81,7214.92,11.71
20240314085003,1.24,1015.99,17.89,80.32,7543.92,13.4
20240315070003,0.03,1015.49,17.03,88.67,3234.83,3
20240315071003,0.02,1015.68,17.39,87.24,3938.5,4.44
20240315072003,0.05,1015.74,17.81,86.01,5490,8.22
20240315073003,0.12,1015.79,18.38,83.44,7468.67,14.44
20240315074003,0.25,1015.88,19.13,80.54,9326.92,22.74
20240315075003,0.24,1015.92,19.66,77.76,9216.42,21.03
20240315080003,0.17,1015.98,19.92,77.76,7922.25,15.84
20240315081003,1,1016.03,20.21,76.02,10632,27.55
20240315082003,0.97,1016.01,20.48,74.59,13117.58,39.32
20240315083003,1.34,1016.03,21.07,70.71,14735.92,50.31
20240315084003,0.7,1016.04,22.06,68,17622.75,73.01
20240315085003,0.59,1015.97,22.97,65.28,21383.83,106.37
20240316070003,0.71,1015.18,21.84,70.36,19746.17,87.99
20240316071003,1.74,1015.29,23.37,64.16,26594.25,136.9
20240316072003,1.97,1015.38,24.87,59.76,34034.41,209
20240316073003,1.4,1015.44,25.79,56.89,37571.14,251.66
20240316074003,1.23,1015.5,27.32,53.39,41808.7,316.39
20240316075003,1.5,1015.55,27.14,52.9,48030.74,402.28
20240316080003,1.45,1015.51,27.33,51.99,43399.65,351.59
20240316081003,1.03,1015.58,27.63,52.04,43635.44,365.47
20240316082003,1.89,1015.62,28.33,49.03,46423.69,407.81
20240316083003,0.69,1015.66,30.03,45.15,59083.96,620.2
20240316084003,1.1,1015.73,33.89,37.14,79239.13,930.08
20240316085003,1.32,1015.78,33.24,37.19,78835.37,942.57
20240317070003,0.51,1013.15,19.94,88.47,10453.5,19.72
20240317071003,0.94,1013.22,21.02,83.96,14490.75,37.45
20240317072003,0.68,1013.32,23.09,75.83,25256.66,125.15
20240317073003,0.74,1013.34,27.92,59.52,39257.8,276.65
20240317074003,1.21,1013.4,30.13,51.64,42438.76,326.44
20240317075003,0.92,1013.46,28.51,55.98,29259.25,143.91
20240317080003,0.92,1013.48,26.3,61.79,21373.67,73.16
20240317081003,1.41,1013.47,25.57,64.55,24666.83,94.25
20240317082003,1.79,1013.53,29.01,54.73,61344.04,664.5
20240317083003,1.04,1013.51,34.13,42.55,76475.36,894.42
20240317084003,0.91,1013.42,35.84,37.72,80674.3,960.97
20240317085003,1.44,1013.34,36.01,35.52,85470.69,1080.03
20240318070003,0.96,1013.86,20.03,85.16,1294.67,0.48
20240318071003,0.55,1014.01,20.03,85.75,1435.08,0.58
20240318072003,0.86,1014.21,20.06,85.85,1695.58,0.74
20240318073003,1.11,1014.37,19.96,85.75,2221.42,1.27
20240318074003,1.86,1014.45,20.02,84.59,3045.58,2.33
20240318075003,1.08,1014.44,20.35,82.94,4412.17,4.78
20240318080003,0.37,1014.47,20.7,81.71,5089.33,6.17
20240318081003,0.47,1014.53,20.86,81.16,4917,5.82
20240318082003,0.08,1014.54,21.23,79.89,6766.75,10.7
20240318083003,0.06,1014.58,21.81,77.6,7380.5,12.65
20240318084003,0.11,1014.59,22.12,76.22,7580.83,13.53
20240318085003,0,1014.54,22.48,74.76,8296.17,16.16
20240319070003,0.02,1013.63,19.07,98.15,726.5,0.18
20240319071003,0.24,1013.7,19.14,97.99,1771.92,1.05
20240319072003,0.1,1013.87,19.29,97.79,2171.83,1.27
20240319073003,0.72,1013.94,19.16,97.35,2120.08,1.25
20240319074003,0.87,1014.14,19.13,97.16,3818.92,3.31
20240319075003,0.68,1014.36,19.12,97.3,3573.42,3.3
20240319080003,0.71,1014.5,19.01,97.17,3512.83,3.6
20240319081003,1.66,1014.58,18.88,96.03,6731,12.33
20240319082003,1.37,1014.75,18.81,95.87,6722.08,12.92
20240319083003,1.15,1014.82,18.71,96.69,5343.33,7.39
