Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240201160013,1.31,1012.14,25.93,63.28,5063.92,5.72
20240201161013,0.95,1012.25,25.8,64.21,4573.92,4.75
20240201162013,1.1,1012.38,25.58,65.73,4057.75,3.84
20240201163013,2.36,1012.49,25.15,68.73,3396.42,2.77
20240201164013,1.64,1012.51,24.82,70.12,2781.83,1.91
20240201165013,1.54,1012.61,24.68,70.39,2265,1.32
20240202090013,0.97,1015.62,25.89,67.23,18310.42,69.13
20240202091013,0.59,1015.7,26.89,63.95,20384.83,84.94
20240202092013,0.56,1015.7,28.57,57.41,23847.92,116.32
20240202093013,0.41,1015.68,28.71,56.33,23396.42,111.42
20240202094013,0.81,1015.68,30.04,50.33,33919.01,270.72
20240202095013,1.04,1015.74,34.34,39.48,48625.77,500.57
20240202100013,0.17,1015.52,37.16,34.34,53994.29,607.77
20240202101013,0.18,1015.5,38.03,31.58,58239.05,720.24
20240202102013,0.17,1015.29,38.84,30.22,59666.49,755.59
20240202103013,0.12,1015.13,41.13,27.41,79956.44,1347.92
20240202104013,0.45,1014.84,41.45,26.08,59617.07,773.73
20240202105013,0.2,1014.68,41.28,26.32,63819.96,864.51
20240202110013,0.13,1014.52,40.47,26.82,60757.55,784.17
20240202111013,0.66,1014.22,37.24,31.82,78495.4,1213.45
20240202112013,0.51,1014.12,37.1,32.24,46394,444.59
20240202113013,0.37,1013.94,34.3,38.88,39338.03,349.72
20240202114013,0.46,1013.79,32.6,42.63,24481.25,134.45
20240202115013,0.36,1013.67,31.72,44.5,21579.08,100.31
20240202120013,0.67,1013.55,29.41,50.5,15665.17,54.22
20240202121013,0.16,1013.4,29.38,49.74,11979.33,32.4
20240202122013,0.19,1013.31,29.35,49.36,12776.42,36.15
20240202123013,0.16,1013.27,29.8,48.19,14661.83,47.03
20240202124013,0.18,1013.23,30.2,47.81,16723.75,60.49
20240202125013,1.91,1013.14,29.36,52.69,17181.83,63.34
20240202130013,2.1,1013.07,27.43,61.48,16975.75,61.98
20240202131013,2.68,1013.04,27.18,62.79,17295.5,62.59
20240202132013,1.93,1013.03,26.75,64.61,13533.83,38.88
20240202133013,5.03,1012.98,25.46,69.51,11236.58,26.35
20240202134013,2.11,1013.03,24.99,71.47,6915,11.07
20240202135013,1.94,1012.9,24.77,73.22,3827.25,3.93
20240202140013,3.49,1012.9,24.6,74.31,5179.75,6.67
20240202141013,3.68,1012.86,24.26,76.97,7404.25,12.4
20240202142013,2.76,1012.93,23.78,79.24,6030.33,8.39
20240202143013,1.7,1012.94,23.48,82.53,5396.58,8.32
20240202144013,2.37,1012.94,23.18,84.14,5581.58,8.6
20240202145013,2.95,1012.94,22.86,85.75,5669.42,7.95
20240202150013,2.23,1012.99,22.84,86.55,5404.5,7.99
20240202151013,0.57,1013,23.09,85.99,5137.92,6.77
20240202152013,1.56,1013,23.05,86.3,5017.92,6.2
20240202153013,1.24,1013.07,23.15,86.66,5770.75,8.18
20240202154013,0.35,1013.12,23.42,86.59,7443.08,13.41
20240202155013,1.46,1013.2,23.34,86.39,7145.08,11.1
20240202160013,2.01,1013.2,23.13,86.26,6480.17,8.92
20240202161013,1.78,1013.29,23.05,86.14,6709.33,9.35
20240202162013,2.44,1013.39,22.99,86.01,7403.5,11.42
20240202163013,2.23,1013.52,22.77,86.73,4913.08,5.86
20240202164013,2.7,1013.65,22.42,87.41,3203.5,2.44
20240202165013,2.02,1013.76,22.22,88.19,1495.42,0.65
20240203100013,0,1017,27.13,70.64,33999,230.82
20240203101013,0.3,1016.9,29.39,62.71,36107.59,268.5
20240203102013,0.05,1016.84,30.21,58.04,35870.86,263.21
20240203103013,0.08,1016.73,31.34,54.4,46150.58,439.6
20240203104013,0.12,1016.61,31.35,53.74,40067.38,324.97
20240203105013,0.3,1016.49,30.42,54.77,41611.63,357.49
20240203110013,0.42,1016.39,30.38,54.71,36861.07,282.13
20240203111013,0.18,1016.22,31.09,52.72,46138.39,422.47
20240203112013,0.38,1016,32.81,47.9,53067.28,561.34
20240203113013,0.75,1015.78,31.42,51.22,54348.1,583.69
20240203114013,1.32,1015.54,30.64,53.27,68496.51,943.63
20240203115013,2.19,1015.32,30.38,53.19,85754.6,1408.24
20240203120013,2.09,1015.18,29.53,54.79,55712.82,605.38
20240203121013,1.28,1015.04,30.86,52.25,72756.54,1027.06
20240203122013,2.22,1014.83,29.37,55.14,54957.06,579.99
20240203123013,1.88,1014.63,29.47,54.98,74969.04,1054.87
20240203124013,2.02,1014.55,30.2,52.09,97719.81,1665.12
20240203125013,2.52,1014.25,30.89,50.03,81359.57,1333.14
20240203130013,2.83,1014.18,29.75,54.13,80449.09,1290.59
20240203131013,1.85,1014.04,30.11,53.52,57131.64,695.26
20240203132013,2.88,1013.84,26.88,63.22,26139.34,154.99
20240203133013,2.9,1013.89,25.85,66.98,20437,88.3
20240203134013,1.8,1013.76,25.81,67.19,14920.17,50.71
20240203135013,2.36,1013.72,24.78,71.15,10698.42,23.78
20240203140013,2.12,1013.63,24.39,73.34,8964.5,17.75
20240203141013,2.13,1013.59,24.12,74.47,4550.25,4.9
20240203142013,1.94,1013.53,23.84,75.83,3605.92,3.15
20240203143013,1.24,1013.49,23.79,77.07,3384.25,2.67
20240203144013,2.09,1013.47,23.42,79.37,2661,1.72
20240203145013,2.14,1013.38,22.79,84.23,3299.25,2.12
20240203150013,3.14,1013.34,22.23,86.53,4034.17,2.97
20240203151013,2.19,1013.43,22.21,88.31,5096,4.29
20240203152013,2.36,1013.44,22.16,88.54,4564.25,3.58
20240203153013,2.08,1013.55,22.06,90.88,3960,3.56
20240203154013,2.05,1013.57,22.05,92.04,6231.08,6.99
20240203155013,2.61,1013.61,21.8,92.57,5817.83,5.96
20240203160013,1.7,1013.79,21.61,93.3,4204.83,3.13
20240203161013,0.65,1013.88,21.68,93.77,3370.84,2.09
20240203162013,1.33,1014.01,21.59,93.67,3117.58,1.83
