Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240303130016,1.52,1018.29,31.07,39.43,61489.24,674.02
20240303131016,2.08,1018.17,29.39,41.34,52029.41,500.13
20240303132016,2.13,1018.06,26.81,46.64,35562.88,212.07
20240303133016,1.59,1017.93,26.6,47.47,33044.66,180.92
20240303134016,1.66,1017.82,25.88,49.25,28176.42,131.18
20240303135016,1.47,1017.77,25.5,50.63,29951.67,149.51
20240303140016,2.21,1017.7,25.64,50.14,30485.67,155.79
20240303141016,2,1017.63,25.26,50.97,29131.75,142.86
20240303142016,1.8,1017.55,25.09,51.83,26531.92,118.66
20240303143016,2.36,1017.47,24.4,53.57,23765.58,95.96
20240303144016,1.44,1017.46,23.93,55.17,17020.5,50.75
20240303145016,1.38,1017.48,23.8,55.88,19240.67,64.43
20240303150016,1.72,1017.47,23.9,55.97,16979.08,50.48
20240303151016,2.05,1017.46,22.89,59.27,9997.58,18.05
20240303152016,1.18,1017.49,22.26,59.76,8680.25,13.74
20240303153016,1.49,1017.41,22.25,60.69,7415.92,10.39
20240303154016,1.55,1017.39,22.14,60.71,9780.67,17.09
20240303155016,2.1,1017.32,22.15,61.34,11092,20.9
20240303160016,1.95,1017.3,21.88,62.16,10042.83,17.12
20240303161016,1.52,1017.32,22.05,62.09,10973.83,21.02
20240303162016,1.85,1017.46,22.2,61.7,10889.17,21.69
20240303163016,1.03,1017.53,22.39,61.24,9060.75,16.86
20240303164016,1.12,1017.56,22.49,60.48,7899.83,12.95
20240303165016,1.1,1017.65,22.16,61.98,6826.33,9.9
20240304090016,1.29,1017.17,40.46,22.08,107258.52,1627.36
20240304091016,1.39,1017.08,40.13,22.34,108364.67,1660.38
20240304092016,1.67,1017.04,39.23,22.96,109284.31,1680.27
20240304093016,2.3,1017.02,37.15,25.14,109972.16,1709.8
20240304094016,1.58,1016.85,39.84,22.83,110800.16,1708.89
20240304095016,2.71,1016.85,38.64,22.47,113170.77,1767.45
20240304100016,2.72,1016.77,35.35,25.85,113379.75,1857.54
20240304101016,2.27,1016.55,35.77,26.04,113324.77,1860.96
20240304102016,3.02,1016.43,36.83,26,114376.12,1853.88
20240304103016,3.28,1016.37,35.22,27.7,113384.6,1851.37
20240304104016,3.48,1016.16,34.84,28.71,109926.16,1843.22
20240304105016,4,1016.12,33.87,31.1,109111.99,1858.01
20240304110016,2.95,1016.05,35.36,28.93,106752.88,1805.4
20240304111016,3.21,1015.77,35.1,29.24,104810.81,1797.52
20240304112016,3.78,1015.48,34.16,31.32,103499.46,1790.64
20240304113016,3.81,1015.18,33.97,31.62,100777.01,1753.07
20240304114016,3.68,1015.06,33.5,32.44,97327.37,1724.4
20240304115016,3.51,1014.85,33.66,32.54,94134.51,1669.84
20240304120016,4.42,1014.66,32.51,35.38,90910.02,1599.83
20240304121016,4.21,1014.42,32.56,36.41,87163.71,1510.37
20240304122016,3.31,1014.18,33.21,34.64,82879.24,1413.61
20240304123016,3.31,1014.02,33.3,34.98,79576.76,1331.15
20240304124016,3.88,1013.67,33.26,36.29,77865.96,1262.47
20240304125016,3.89,1013.54,32.77,36.31,74756.11,1172.22
20240304130016,3.92,1013.4,32.38,37.89,69692.88,1037.02
20240304131016,3.88,1013.17,32.26,38.64,65841.81,911.56
20240304132016,5.01,1013.16,31.18,40.69,61964.69,800.38
20240304133016,4.1,1012.9,31.29,40.48,56570.47,686.07
20240304134016,4.54,1012.82,28.49,47.38,15729.42,64.83
20240304135016,3.89,1012.63,26.65,54.9,11719.08,17.75
20240304140016,4.07,1012.64,26.27,55.28,11053.83,15.88
20240304141016,4.68,1012.5,25.61,58.51,10520.92,14.41
20240304142016,4.25,1012.32,25.54,59.82,10168.25,13.6
20240304143016,4.13,1012.28,25.63,60.28,9501.33,11.93
20240304144016,4.17,1012.31,25.46,59.9,8931.08,10.53
20240304145016,3.98,1012.31,25.27,59.34,8536.17,9.66
20240304150016,2.75,1012.25,25.52,58.21,8242.42,9.1
20240304151016,2.67,1012.17,25.67,55.48,7914.83,8.38
20240304152016,2.58,1012.2,25.77,54.16,7826,8.31
20240304153016,3.21,1012.21,25.83,51.27,7573.58,7.8
20240304154016,3.09,1012.33,25.78,51.97,7051.58,6.7
20240304155016,2.29,1012.38,25.74,49.63,6593.67,5.86
20240304160016,2.16,1012.46,25.66,50.97,6199.08,5.13
20240304161016,2.33,1012.52,25.55,51.41,5906.67,4.71
20240304162016,2.67,1012.52,25.44,50.67,5504.92,4.04
20240304163016,2.31,1012.51,25.4,52.32,5642.75,4.8
20240304164016,2.62,1012.73,25.24,57.49,5041.92,4.03
20240304165016,1.81,1012.8,25.04,61.7,4528.92,3.59
20240305090016,1.85,1010.64,41.66,25.27,105003.8,1584.45
20240305091016,1.94,1010.49,41.18,25.44,106900.58,1632.31
20240305092016,0.6,1010.29,44.38,21.57,109848.35,1648.96
20240305093016,0.56,1010.31,46.87,18.22,112136.13,1667.67
20240305094016,1.38,1010.14,46.19,17.75,112963.41,1690.14
20240305095016,1,1009.94,45.68,19.01,114407.56,1720.03
20240305100016,2.74,1009.8,43.9,19.85,114429.49,1744.29
20240305101016,1.56,1009.6,43.75,20.22,115236.28,1757
20240305102016,1.4,1009.47,45.9,18.16,117495.32,1781.65
20240305103016,1.4,1009.3,48.88,15.89,115356.68,1718.51
20240305104016,2.29,1009.25,45.15,19.14,102647.93,1674
20240305105016,2.45,1009.17,40.06,26.25,81256.21,1328.36
20240305110016,3.01,1009.08,37.08,32.05,80379.26,1305.19
20240305111016,2.4,1008.9,37.31,32.03,55959.04,967.74
20240305112016,1.9,1008.72,34.19,38.86,37050.88,533.83
20240305113016,2.46,1008.58,33.83,39.96,39184.32,371.41
20240305114016,1.64,1008.41,34.08,39.88,34812.52,470.61
20240305115016,1.85,1008.28,31.71,45.74,22649.75,84.67
20240305120016,1.67,1008.13,30.87,49.04,21704.75,79.58
20240305121016,2.05,1007.95,30.16,53.93,19444.92,64.63
20240305122016,1.75,1007.77,30.15,55.37,19309.58,61.54
20240305123016,2.11,1007.58,29.6,57.95,14842.5,37.28
20240305124016,1.91,1007.37,29.27,59.47,15123,38.94
20240305125016,0.78,1007.21,30.38,56.23,17212.92,52.19
20240305130016,0.66,1006.91,30.5,53.84,16754.75,48.81
20240305131016,0.63,1006.78,31.43,51.29,22247.02,164.94
20240305132016,0.91,1006.58,30.79,52.76,12127.67,24.65
20240305133016,1.15,1006.53,30.01,54.03,12908.08,28.74
20240305134016,1.23,1006.2,30.25,51.4,15542.17,41.08
20240305135016,1.04,1006,30.18,51.34,14545.08,35.21
20240305140016,1.47,1005.82,29.81,52.93,13029.83,28.67
20240305141016,1.38,1005.68,29.45,53.84,13089.42,29.14
20240305142016,0.98,1005.5,29.46,55.52,11334.58,21.53
20240305143016,1.23,1005.42,28.86,59.89,9304.58,14.89
20240305144016,1.02,1005.31,28.9,60.84,11951.42,25.11
20240305145016,0.95,1005.08,28.83,59.28,10718,19.49
20240305150016,1.7,1005.04,28.75,58.61,11175.25,20.6
20240305151016,1.43,1005.02,28.49,58.68,9623.33,15.89
20240305152016,1.43,1005,28.44,58.9,9571.33,15.87
20240305153016,1.88,1004.99,28.37,59.42,9783.5,16.61
20240305154016,2.22,1005.06,28.37,59.61,9556.5,15.44
20240305155016,1.47,1005.05,28.16,60.73,7838.58,10.06
20240305160016,2.14,1005.08,27.96,62.45,6747.58,7.61
20240305161016,2.34,1005.08,27.6,64.84,5924.58,6.11
20240305162016,2.14,1005.12,27.34,63.22,5644.33,5.43
20240305163016,2.53,1005.12,27.05,65.71,4679.33,3.68
20240305164016,2.15,1005.24,26.86,66.52,3718.75,2.2
20240305165016,1.27,1005.24,26.67,67.91,2809.5,1.28
20240306090016,3.05,1012.97,21.36,88.31,3940.17,2.5
20240306091016,2.68,1013.06,21.41,87.62,4379.33,3.02
20240306092016,3.62,1013.03,21.44,87.1,4927.92,3.92
20240306093016,2.87,1013.22,21.28,86.45,4946.17,3.83
20240306094016,3.19,1013.3,21.16,86.47,4532.17,3.14
20240306095016,3.28,1013.44,21.1,84.75,3974.84,2.32
20240306100016,3.94,1013.55,21.06,84.9,3741.17,2.02
20240306101016,3.68,1013.58,20.89,84.88,3836.92,2.11
20240306102016,3.82,1013.6,20.71,85.05,4611.83,3.2
20240306103016,4.64,1013.55,20.69,85.12,5930.33,5.35
20240306104016,3.81,1013.53,20.59,85,5514.92,4.6
20240306105016,4.24,1013.54,20.44,84.33,5435.08,4.35
20240306110016,3.42,1013.62,20.44,84.02,4783.67,3.28
20240306111016,4.16,1013.63,20.05,84.74,5397.92,4.26
20240306112016,3.65,1013.52,19.97,85.02,5350.92,4.18
20240306113016,3.04,1013.44,20,84.49,5843.5,5.17
20240306114016,3.69,1013.41,19.83,84.54,7194.92,8.64
20240306115016,4.05,1013.37,19.64,85.71,8275.92,11.54
20240306120016,3.16,1013.27,19.7,86.58,8929.42,14.54
20240306121016,3.21,1013.21,19.75,86.21,9430.75,16.69
20240306122016,3.41,1013.1,19.5,87.46,7280.25,9.31
20240306123016,3.35,1012.89,19.57,86.56,10611,17.43
