Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240209150015,0.89,1020.97,18.38,66.07,7227.67,10.68
20240209151015,0.93,1021,18.14,66.38,6326,8.17
20240209152015,1.32,1021.06,17.89,67.64,4982.67,5.04
20240209153015,1.22,1021.16,17.65,67.97,4904.33,4.98
20240209154015,2.15,1021.23,17.57,67.79,5098.42,5.44
20240209155015,2.12,1021.29,17.48,68.32,4287.5,3.93
20240209160015,1.65,1021.38,17.37,67.7,3602.92,2.78
20240209161015,1.72,1021.44,17.27,68.59,3430.58,2.5
20240209162015,1.32,1021.57,17.18,69.21,2415.83,1.36
20240209163015,1.58,1021.64,17.09,69.79,1938.5,0.9
20240209164015,1.71,1021.73,16.91,69.58,1452,0.52
20240209165015,1.15,1021.78,16.9,69.72,1230.33,0.4
20240210090015,0,1027.54,14.2,90.54,4366.25,3.5
20240210091015,0,1027.63,14.51,90.77,5437.17,5.05
20240210092015,0,1027.76,14.46,89.42,5370.58,5.01
20240210093015,0,1027.76,14.43,88.23,6886.17,8.07
20240210094015,0,1027.75,14.69,89.09,8440.33,12.38
20240210095015,0,1027.75,14.92,88.19,9171.08,15.5
20240210100015,0,1027.74,15.68,86.47,11578.92,22.57
20240210101015,0,1027.68,15.97,83.8,10959.25,20.48
20240210102015,0,1027.67,16.1,82.29,11643.25,23.35
20240210103015,0.05,1027.5,16.04,79.86,11986.33,24.73
20240210104015,0,1027.46,16.07,77.96,11007.67,21.06
20240210105015,0,1027.39,16.25,79.19,10329.25,18.55
20240210110015,0,1027.22,16.58,80.07,10064,17.7
20240210111015,0,1027.15,16.72,78.41,9268.08,15.2
20240210112015,0,1027.07,16.6,75.59,10072.75,18.04
20240210113015,0,1027.01,16.66,75.29,9392.67,16.06
20240210114015,0,1026.93,16.82,74.41,9408.92,16.11
20240210115015,0,1026.85,16.9,74.26,8654.17,13.82
20240210120015,0,1026.75,17.27,73.63,11101.75,23.93
20240210121015,0,1026.6,17.53,73.13,7558.83,11.28
20240210122015,0,1026.52,17.26,69.49,8955,15.86
20240210123015,0,1026.35,17.55,71.39,8642.83,15.14
20240210124015,0,1026.24,17.88,70.88,10143.58,21
20240210125015,0,1026.08,18.13,71.13,10640.25,22.58
20240210130015,0,1025.95,18.4,70.66,10287.33,21.32
20240210131015,0,1025.84,18.57,69.55,10567,22.61
20240210132015,0,1025.76,18.62,68.74,9031.75,17.2
20240210133015,0,1025.7,18.34,68.08,11055.33,25.27
20240210134015,0,1025.72,18.34,69.01,9545.33,19.27
20240210135015,0,1025.66,18.07,70.4,8733.67,16.16
20240210140015,0,1025.61,18.19,68.62,8289.83,13.92
20240210141015,0,1025.63,17.77,68.96,7646.5,11.71
20240210142015,0,1025.59,17.91,69.9,7519.83,11.42
20240210143015,0,1025.52,17.76,70.2,6407.58,8.6
20240210144015,0,1025.52,17.79,72.18,7161.88,10.44
20240210145015,0,1025.54,18.07,71.24,7161.83,10.61
20240210150015,0,1025.52,17.92,69.83,6772.09,9.55
20240210151015,0,1025.58,17.94,69.94,6780.25,9.51
20240210152015,0,1025.62,17.63,66.32,6664.35,9.27
20240210153015,0,1025.63,17.33,69.55,5390.92,6.03
20240210154015,0,1025.64,17.12,69.52,4204.84,3.79
20240210155015,0,1025.66,16.89,71.84,3662.75,2.91
20240210160015,0,1025.71,16.68,70.43,3027.75,2.01
20240210161015,0,1025.84,16.5,72.86,2549.42,1.46
20240210162015,0,1025.97,16.43,74.55,2068.42,1
20240210163015,0,1026.05,16.2,74.74,1398.75,0.48
20240210164015,0,1026.12,16.03,75.83,1300.75,0.41
20240210165015,0,1026.19,15.91,76.77,995.83,0.26
20240211090015,0,1030.39,21.74,49.93,22328.34,76.23
20240211091015,0,1030.44,20.35,51.43,21768.17,76.1
20240211092015,0.02,1030.5,20.06,51.12,21492.17,69.72
20240211093015,0.02,1030.55,20.65,49.58,61662.72,457.12
20240211094015,0.03,1030.53,25.92,38.92,91147.74,1743.4
20240211095015,0.05,1030.55,27.78,33.06,94562.88,1850.9
20240211100015,0.12,1030.49,28.4,31.83,98493.72,1937.51
20240211101015,0.1,1030.48,28.65,30.4,100218.72,1968.61
20240211102015,0.12,1030.39,29.29,28.08,100507.48,1968.05
20240211103015,0.1,1030.42,28.54,29.07,99858.81,1960.95
20240211104015,0.09,1030.28,29.03,28.13,98149.44,1933.11
20240211105015,0.13,1030.2,29.18,27.3,96734.22,1903.12
20240211110015,0.1,1030.12,28.77,27.21,100844.39,2001.78
20240211111015,0.1,1029.94,29.72,27.3,101743.91,2003.32
20240211112015,0.06,1029.84,29.98,26.42,100614.57,1987.45
20240211113015,0.04,1029.7,30.5,25.02,98476.53,1942.47
20240211114015,0.03,1029.56,30.49,24.7,72215.19,1308.31
20240211115015,0.06,1029.43,23.87,33.73,15071,37.11
20240211120015,0.22,1029.23,21.2,39.61,14247.92,33.24
20240211121015,0.08,1029.15,20.66,41.82,13358.67,29.6
20240211122015,0.11,1029.04,20.48,41.26,12438.42,25.95
20240211123015,0.03,1028.92,20.27,41.45,11552,22.83
20240211124015,0.05,1028.74,20.4,40.11,10896.25,20.48
20240211125015,0.1,1028.52,20.16,41.1,10503.92,19.27
20240211130015,0.09,1028.41,19.94,41.11,9964.58,17.38
20240211131015,0.05,1028.3,19.85,41.54,9664.33,16.61
20240211132015,0.08,1028.12,19.86,41.95,9672.75,16.88
20240211133015,0.17,1028.02,19.93,39.71,10028.92,18.27
20240211134015,0.2,1028.04,19.91,41.14,10088.42,19.49
20240211135015,0.11,1027.94,20.02,38.57,12255,29.98
20240211140015,0.12,1027.88,20.31,39.21,10322.42,22.4
20240211141015,0.05,1027.82,19.84,43.42,8822.78,15.03
20240211142015,0.03,1027.77,19.69,41.71,8445.91,14.18
20240211143015,0.06,1027.68,19.99,44.52,9346.08,18.46
20240211144015,0.02,1027.63,20.33,41,10313.17,23.29
20240211145015,0,1027.65,20.89,40.88,12028.75,31.95
20240211150015,0,1027.69,21.15,40.98,13746.58,42
20240211151015,0.02,1027.65,21.3,40.84,14279.75,45.88
20240211152015,0.05,1027.62,21.28,38.97,13974.83,44.1
20240211153015,0,1027.6,21.76,39.28,13332.92,40.21
20240211154015,0.04,1027.54,21.21,40.6,10726.42,25.95
20240211155015,0.03,1027.57,20.78,41.41,9184.42,19.07
20240211160015,0,1027.6,20.6,40.44,8465.75,16.8
20240211161015,0,1027.72,20.76,40.23,7776.25,14.58
20240211162015,0,1027.82,20.62,41.29,6626.5,10.53
20240211163015,0,1027.92,20.36,41.91,5745.92,7.98
20240211164015,0,1028.03,19.87,42.64,4784.17,5.58
20240211165015,0,1028.06,19.65,44.3,3682.17,3.46
20240212090015,0,1030.2,20.85,52.66,18608.58,73.88
20240212091015,0,1030.26,22.1,49.02,18873.42,76.47
20240212092015,0,1030.27,22.69,48.23,20130.17,88.08
20240212093015,0,1030.29,23.26,47.47,24137.58,124.95
20240212094015,0,1030.28,24.67,43.28,29917.07,192.1
20240212095015,0,1030.2,25.36,40.05,31946.17,216.88
20240212100015,0,1030.03,26.74,37.43,34305.66,243.46
20240212101015,0,1029.94,27.49,35.13,38944.7,321.81
20240212102015,0,1029.78,29.58,31.97,73936.21,1169.86
20240212103015,0,1029.59,36.99,24.18,107183.77,2004.75
20240212104015,0,1029.36,39.44,18.05,104014.08,1923.96
20240212105015,0,1029.12,39,18.38,101791.16,1886.72
20240212110015,0,1029.01,36.68,20.62,104799.85,1981.52
20240212111015,0.03,1028.92,38.63,17.33,110989.01,2059.44
20240212112015,0.1,1028.74,34.82,21.48,80846.61,1366.21
20240212113015,0.08,1028.65,30.03,27.64,33128.91,229.33
20240212114015,0.03,1028.47,26.63,32.78,34566.84,256.38
20240212115015,0,1028.3,25.54,34.68,27038.67,154.26
20240212120015,0,1028.26,25.67,34.66,25644.67,141.79
20240212121015,0,1028.15,25.82,34.9,21052.83,97.08
20240212122015,0,1027.93,25.22,35.65,20930.42,96.35
20240212123015,0,1027.68,25.43,37.19,22525,110.79
20240212124015,0,1027.56,26.32,35.01,24130.58,128.46
20240212125015,0,1027.41,26.17,35.67,26564.5,156.62
20240212130015,0,1027.26,26.4,35.8,27020.18,162.06
20240212131015,0,1027.13,26.08,35.59,24198.42,132.02
20240212132015,0,1027,25.9,34.98,19095.58,83.81
20240212133015,0,1026.86,24.85,38.85,14326.58,48
20240212134015,0,1026.81,24.07,42.13,9123.25,19.87
20240212135015,0,1026.79,22.81,45.45,7190,12.43
20240212140015,0,1026.66,21.98,46.79,5394.83,7.12
20240212141015,0,1026.58,21.42,47.71,4095,3.96
20240212142015,0,1026.54,21.04,50.23,3288.75,2.44
20240212143015,0,1026.5,20.6,51.17,2828.17,1.77
20240212144015,0,1026.46,20.61,49.02,2613.17,1.48
20240212145015,0,1026.44,20.57,49.26,2513.33,1.41
20240212150015,0,1026.43,20.41,50.44,2271.25,1.14
20240212151015,0,1026.38,20.37,50.05,2123.75,1.02
20240212152015,0,1026.41,20.19,51.11,1823.58,0.76
20240212153015,0,1026.45,20.18,50,1674.67,0.67
20240212154015,0,1026.5,20.12,50.85,1644.33,0.65
20240212155015,0,1026.55,19.99,51.36,1939.54,0.91
20240212160015,0,1026.62,19.85,52.73,1952.92,0.94
20240212161015,0,1026.69,19.85,52.44,1702.42,0.73
20240212162015,0,1026.76,19.68,54.56,1268.67,0.43
20240212163015,0,1026.83,19.47,54.77,975.42,0.28
20240212164015,0,1026.99,19.37,55.17,780.17,0.2
20240212165015,0,1027.14,19.35,54.83,734.25,0.18
20240213090015,0,1027.02,23.97,46.32,26057.59,146.99
20240213091015,0,1027,23.93,46.07,23669.33,120.06
20240213092015,0,1027.05,23.97,47.42,20929.5,84.15
20240213093015,0,1027.08,23.67,47.79,40985.03,117.22
20240213094015,0,1026.94,29.76,37.24,99944.7,1727.45
20240213095015,0,1026.71,35.4,26.81,102569.39,1896.64
20240213100015,0,1026.54,37.7,23.89,105037.94,1894.06
20240213101015,0,1026.46,38.77,21.48,106915.49,1905.14
20240213102015,0,1026.3,40.26,18.83,108678.05,1917.83
20240213103015,0.02,1026.11,39.33,18.99,108627.92,1931.22
20240213104015,0.08,1025.78,36.56,20.65,108375.09,1987.89
20240213105015,0.05,1025.51,34.63,23.58,108506.45,2018.29
20240213110015,0,1025.37,36.48,20.86,108409.78,1990.05
20240213111015,0.02,1025.1,36.63,20.9,107090.69,1968.45
20240213112015,0,1024.97,36.9,21.12,104796.8,1941.49
20240213113015,0,1024.72,36.87,21.08,102678.46,1916.1
20240213114015,0.1,1024.53,36.34,21.82,96904.02,1824.5
20240213115015,0.05,1024.34,31.14,28.64,17114.91,97.57
20240213120015,0.05,1024.16,26.5,37.32,15183.17,46.14
20240213121015,0.08,1023.96,26.4,35.75,22410.83,108.83
20240213122015,0.1,1023.84,26.64,34.12,26942.42,156.73
20240213123015,0.05,1023.72,27.11,33.07,28597.08,178.38
20240213124015,0.06,1023.52,27.12,34.08,24628.33,134.86
20240213125015,0,1023.31,27.43,34,22511.92,114.15
20240213130015,0.03,1023.17,27.16,34.27,22511.42,115.5
20240213131015,0.02,1023.09,27.26,35.16,24399.67,135.57
20240213132015,0,1023.03,27.79,34.59,26346.08,157.55
20240213133015,0.03,1022.99,27.65,34.9,23829.17,129.48
20240213134015,0,1022.86,27.18,36.26,21205.42,102.93
20240213135015,0,1022.69,27.22,37.15,19170.75,85.23
20240213140015,0,1022.59,27.47,36.06,18738.17,81.46
20240213141015,0,1022.44,26.84,38.75,20964.17,102.04
20240213142015,0.02,1022.38,26.88,38.08,20321,95.79
20240213143015,0,1022.3,26.86,37.82,18129.08,76.69
20240213144015,0,1022.26,26.52,38.72,15694.5,57.71
20240213145015,0,1022.24,26.26,39.29,13403.61,42.48
20240213150015,0,1022.17,25.7,40.65,11920.08,33.62
20240213151015,0.02,1022.09,25.21,41.85,9389.25,20.35
20240213152015,0.03,1022.1,24.98,42.98,10804.17,26.93
20240213153015,0,1022.1,25.05,42.65,9608.92,21.43
20240213154015,0,1022.08,24.44,43.87,7005.75,10.9
20240213155015,0,1022.13,23.55,47.02,5237,5.51
20240213160015,0,1022.15,23.06,47.81,4996.92,4.94
20240213161015,0,1022.15,23,47.08,4895.42,4.86
20240213162015,0,1022.2,22.84,48.76,3909.34,3.08
20240213163015,0,1022.19,22.15,51.6,3093.92,1.76
20240213164015,0,1022.23,21.88,52.59,2905.67,1.52
20240213165015,0,1022.28,21.68,54.08,2872,1.62
20240214090015,0,1023.87,23.28,51.65,13802.5,38.58
20240214091015,0,1023.76,22.52,52.03,10908.08,22.62
20240214092015,0,1023.61,22.63,52.18,11502,22.28
20240214093015,0,1023.61,23.43,51.14,30619.86,58.04
20240214094015,0,1023.58,30.6,37.72,101916.23,1776.72
20240214095015,0,1023.44,36.7,26.4,104696.17,1914.59
20240214100015,0,1023.33,40.08,20.7,106901.12,1900.61
20240214101015,0,1023.16,40.72,19.88,108721.53,1901.62
20240214102015,0,1023.02,40.83,18.3,110054.99,1917.37
20240214103015,0,1022.79,41.9,18.07,109933.16,1913.54
20240214104015,0,1022.6,42.08,17.49,109508.2,1904.98
20240214105015,0,1022.44,43.14,16.54,109156.36,1895.17
20240214110015,0.02,1022.2,41.64,16.52,108564.84,1914.83
20240214111015,0.02,1021.99,39.02,18.69,107293.37,1944.05
